"Code","collection_date","cyst","numeric","positive","assay_type","cyst_date","sample_type","plate","dob","Unit","Sex","age","age_cat"
"LYP",2020-01-28,1,1.8112,1,"net_OD",NA,"plasma","2023",2007-10-06,"Tf","M",12.31,"adult"
"MEK",2014-10-17,0,2.24211678615348,0,"logscale",NA,"urine","2013",2014-01-25,"M2","M",0.73,"non-adult"
"MEK",2014-10-14,0,2.06108494775929,0,"logscale",NA,"urine","2013",2014-01-25,"M2","M",0.72,"non-adult"
"MEK",2014-10-05,0,3.20958388323743,1,"logscale",NA,"urine","2013",2014-01-25,"M2","M",0.69,"non-adult"
"MEK",2014-08-24,0,2.46931525258866,1,"logscale",NA,"urine","2013",2014-01-25,"M2","M",0.58,"non-adult"
"MHE",2014-08-11,0,2.05790228167214,0,"logscale",NA,"urine","2013",2002-03-29,"","M",12.37,"adult"
"MHE",2015-05-19,0,2.26754740300699,0,"logscale",NA,"urine","2013",2002-03-29,"","M",13.14,"adult"
"MHE",2014-10-07,0,2.29196049073413,0,"logscale",NA,"urine","2013",2002-03-29,"","M",12.53,"adult"
"MHE",2014-09-06,0,1.86831401006715,0,"logscale",NA,"urine","2013",2002-03-29,"","M",12.44,"adult"
"MHE",2014-10-29,0,2.00204810471815,0,"logscale",NA,"urine","2013",2002-03-29,"","M",12.59,"adult"
"MHE",2015-04-21,0,2.12419798138435,0,"logscale",NA,"urine","2013",2002-03-29,"","M",13.06,"adult"
"MHE",2015-05-16,0,1.80952945924021,0,"logscale",NA,"urine","2013",2002-03-29,"","M",13.13,"adult"
"MIA",2014-08-20,0,2.21068430033637,0,"logscale",NA,"urine","2013",2010-09-23,"M","M",3.91,"non-adult"
"MOH",2020-01-31,0,0,0,"net_OD",NA,"plasma","2023",2014-09-09,"M2","M",5.39,"non-adult"
"MOH",2014-10-05,0,2.3776967456378,0,"logscale",NA,"urine","2013",2014-09-09,"M2","M",0.07,"non-adult"
"MOM",2014-08-29,0,2.13228534384292,0,"logscale",NA,"urine","2013",2013-12-10,"M1","M",0.72,"non-adult"
"MUF",2014-10-17,0,2.25966273437622,0,"logscale",NA,"urine","2013",2014-03-18,"M2","M",0.58,"non-adult"
"MUF",2014-08-17,0,2.05135910551392,0,"logscale",NA,"urine","2013",2014-03-18,"M2","M",0.42,"non-adult"
"MUF",2014-10-17,0,2.38584997006773,0,"logscale",NA,"urine","2013",2014-03-18,"M2","M",0.58,"non-adult"
"MYC",2014-08-13,0,2.18238089918224,0,"logscale",NA,"urine","2013",2012-10-29,"M1","M",1.79,"non-adult"
"NEP",2014-08-16,0,2.73076395219727,1,"logscale",NA,"urine","2013",2012-03-28,"N","M",2.38,"non-adult"
"NOH",2014-08-11,0,1.83727014214673,0,"logscale",NA,"urine","2013",2003-04-11,"","M",11.33,"adult"
"NOH",2014-10-12,0,2.40612386313187,1,"logscale",NA,"urine","2013",2003-04-11,"","M",11.5,"adult"
"NOH",2015-04-21,0,2.27748659720437,0,"logscale",NA,"urine","2013",2003-04-11,"","M",12.03,"adult"
"NOH",2013-09-30,0,78.8,1,"odv",NA,"urine","5",2003-04-11,"","M",10.47,"adult"
"NOH",2013-09-23,0,15.7,0,"odv",NA,"urine","5",2003-04-11,"","M",10.45,"adult"
"NOH",2015-05-20,0,2.240829611093,0,"logscale",NA,"urine","2013",2003-04-11,"","M",12.11,"adult"
"NOH",2015-04-15,0,2.046908031411,0,"logscale",NA,"urine","2013",2003-04-11,"","M",12.01,"adult"
"NON",2015-05-18,0,2.18750649666145,0,"logscale",NA,"urine","2013",2014-11-12,"N","M",0.51,"non-adult"
"OBE",2015-05-13,0,3.8888566176119,1,"logscale",NA,"urine","2013",2006-03-20,"","M",9.15,"adult"
"OBE",2015-04-28,0,3.59213544425244,1,"logscale",NA,"urine","2013",2006-03-20,"","M",9.11,"adult"
"OMA",2013-09-19,0,3.9,0,"odv",NA,"urine","5",2010-10-21,"M","M",2.91,"non-adult"
"OMA",2014-08-29,0,2.83358664757223,1,"logscale",NA,"urine","2013",2010-10-21,"M","M",3.85,"non-adult"
"ORE",2014-10-29,0,2.04697449328245,0,"logscale",NA,"urine","2013",2007-12-22,"C","M",6.85,"non-adult"
"ORE",2015-04-08,0,1.9982610582816,0,"logscale",NA,"urine","2013",2007-12-22,"C","M",7.29,"non-adult"
"ORE",2015-04-24,0,2.02474925268666,0,"logscale",NA,"urine","2013",2007-12-22,"C","M",7.34,"non-adult"
"ORE",2013-10-03,0,18.6,0,"odv",NA,"urine","5",2007-12-22,"C","M",5.78,"non-adult"
"ORE",2014-10-12,0,2.03964314453796,0,"logscale",NA,"urine","2013",2007-12-22,"C","M",6.81,"non-adult"
"OTA",2015-05-07,0,2.05418650439679,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.06,"adult"
"OTA",2015-05-11,0,2.10714925394091,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.07,"adult"
"OTA",2015-06-06,0,2.14292085736702,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.14,"adult"
"OTA",2015-05-21,0,2.11741332948629,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.1,"adult"
"OTA",2015-05-07,0,2.19594040066566,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.06,"adult"
"OTA",2015-04-21,0,2.07570936413296,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.01,"adult"
"OTA",2015-06-08,0,2.26167150047665,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.15,"adult"
"OTA",2015-06-08,0,2.24383375105016,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11.15,"adult"
"OTA",2017-11-17,0,0.004,0,"net_OD",NA,"plasma","2024",2004-04-15,"","M",13.59,"adult"
"OTA",2015-04-16,0,2.15088543460715,0,"logscale",NA,"urine","2013",2004-04-15,"","M",11,"adult"
"PHO",2013-09-19,0,202,1,"odv",NA,"urine","5",2003-12-01,"","M",9.8,"adult"
"PHO",2014-09-22,0,2.64546880420592,1,"logscale",NA,"urine","2013",2003-12-01,"","M",10.81,"adult"
"PIP",2017-11-17,0,0.004,0,"net_OD",NA,"plasma","2024",2010-10-30,"G","M",7.05,"non-adult"
"QHO",2014-10-04,0,4.45947130845373,1,"logscale",NA,"urine","2013",2001-04-14,"","M",13.47,"adult"
"QHO",2014-10-18,0,4.65396035015752,1,"logscale",NA,"urine","2013",2001-04-14,"","M",13.51,"adult"
"QHO",2014-10-05,0,3.9619046064854,1,"logscale",NA,"urine","2013",2001-04-14,"","M",13.48,"adult"
"QWO",2014-09-23,0,2.1008415361602,0,"logscale",NA,"urine","2013",2014-04-30,"Q","M",0.4,"non-adult"
"SAW",2014-08-29,0,2.26100517590781,0,"logscale",NA,"urine","2013",1999-02-07,"","M",15.56,"adult"
"SAW",2013-09-24,0,18.3,0,"odv",NA,"urine","5",1999-02-07,"","M",14.63,"adult"
"SAW",2013-10-19,0,0,0,"odv",NA,"urine","9",1999-02-07,"","M",14.7,"adult"
"SEA",2014-10-28,0,1.69608453853187,0,"logscale",NA,"urine","2013",2007-10-24,"D","M",7.01,"non-adult"
"SEA",2014-08-28,0,2.44201625559258,1,"logscale",NA,"urine","2013",2007-10-24,"D","M",6.84,"non-adult"
"SEA",2014-10-02,0,2.48465464089188,1,"logscale",NA,"urine","2013",2007-10-24,"D","M",6.94,"non-adult"
"SEA",2013-09-24,0,6.9,0,"odv",NA,"urine","5",2007-10-24,"D","M",5.92,"non-adult"
"SEA",2015-04-24,0,2.11400366328132,0,"logscale",NA,"urine","2013",2007-10-24,"D","M",7.5,"non-adult"
"SEA",2014-10-02,0,2.62538660987007,1,"logscale",NA,"urine","2013",2007-10-24,"D","M",6.94,"non-adult"
"SEA",2014-10-12,0,2.02110783208749,0,"logscale",NA,"urine","2013",2007-10-24,"D","M",6.97,"non-adult"
"SEG",2015-05-18,0,2.17151205351933,0,"logscale",NA,"urine","2013",2004-08-17,"","M",10.75,"adult"
"SEG",2015-05-18,0,2.21566721552806,0,"logscale",NA,"urine","2013",2004-08-17,"","M",10.75,"adult"
"SEG",2014-10-17,0,3.18179444949649,1,"logscale",NA,"urine","2013",2004-08-17,"","M",10.17,"adult"
"SEG",2014-10-13,0,2.18933890379366,0,"logscale",NA,"urine","2013",2004-08-17,"","M",10.15,"adult"
"SEG",2015-06-10,0,2.27629702296493,0,"logscale",NA,"urine","2013",2004-08-17,"","M",10.81,"adult"
"SEG",2014-08-17,0,2.65653542029758,1,"logscale",NA,"urine","2013",2004-08-17,"","M",10,"adult"
"SET",2015-05-19,0,2.40167392475146,1,"logscale",NA,"urine","2013",2002-07-25,"","M",12.82,"adult"
"SET",2014-10-18,0,2.20898210074172,0,"logscale",NA,"urine","2013",2002-07-25,"","M",12.23,"adult"
"SET",2015-05-13,0,1.88316378019544,0,"logscale",NA,"urine","2013",2002-07-25,"","M",12.8,"adult"
"SID",2017-11-11,0,0.001,0,"net_OD",NA,"plasma","2024",2009-01-16,"T","M",8.82,"adult"
"SOL",2014-09-06,0,1.91165139532855,0,"logscale",NA,"urine","2013",2004-12-27,"","M",9.69,"adult"
"SOL",2014-10-19,0,2.23655267074637,0,"logscale",NA,"urine","2013",2004-12-27,"","M",9.81,"adult"
"SOL",2019-02-20,1,2.3729,1,"net_OD",NA,"plasma","2023",2004-12-27,"","M",14.15,"adult"
"TAL",2015-04-17,0,2.14428004446949,0,"logscale",NA,"urine","2013",2005-11-01,"T","M",9.46,"adult"
"TAL",2013-10-18,0,0,0,"odv",NA,"urine","9",2005-11-01,"T","M",7.96,"non-adult"
"TAL",2014-10-17,0,2.30937442328338,0,"logscale",NA,"urine","2013",2005-11-01,"T","M",8.96,"adult"
"TAL",2015-04-20,0,2.23603407291084,0,"logscale",NA,"urine","2013",2005-11-01,"T","M",9.46,"adult"
"TAL",2013-09-21,0,27.6,0,"odv",NA,"urine","5",2005-11-01,"T","M",7.89,"non-adult"
"TAL",2014-10-18,0,2.06202989728132,0,"logscale",NA,"urine","2013",2005-11-01,"T","M",8.96,"adult"
"TAL",2015-05-14,0,2.24605404788605,0,"logscale",NA,"urine","2013",2005-11-01,"T","M",9.53,"adult"
"TAL",2020-01-23,0,0,0,"net_OD",NA,"plasma","2023",2005-11-01,"T","M",14.23,"adult"
"TAL",2014-08-16,0,2.27957293771443,0,"logscale",NA,"urine","2013",2005-11-01,"T","M",8.79,"adult"
"TAL",2014-08-21,0,2.33310621036882,0,"logscale",NA,"urine","2013",2005-11-01,"T","M",8.8,"adult"
"TDO",2014-09-09,0,2.38308844858964,0,"logscale",NA,"urine","2013",2013-08-13,"T","M",1.07,"non-adult"
"TEC",2014-08-24,0,2.17758883495442,0,"logscale",NA,"urine","2013",2007-09-02,"C","M",6.98,"non-adult"
"TEC",2015-09-15,0,2.11865170177259,0,"logscale",NA,"urine","2013",2007-09-02,"C","M",8.04,"non-adult"
"TEC",2013-10-10,0,24.3,0,"odv",NA,"urine","5",2007-09-02,"C","M",6.11,"non-adult"
"TEN",2014-10-11,0,2.60456774831453,1,"logscale",NA,"urine","2013",2013-09-19,"T","M",1.06,"non-adult"
"TOA",2014-09-03,0,2.27812838588271,0,"logscale",NA,"urine","2013",2011-12-20,"V","M",2.7,"non-adult"
"TOA",2013-10-16,0,65.8,1,"odv",NA,"urine","5",2011-12-20,"V","M",1.82,"non-adult"
"TOA",2020-01-25,0,0,0,"net_OD",NA,"plasma","2023",2011-12-20,"V","M",8.1,"non-adult"
"TOD",2014-10-11,0,2.1845530688998,0,"logscale",NA,"urine","2013",2014-07-07,"T","M",0.26,"non-adult"
"TOD",2014-08-27,0,2.17918605128671,0,"logscale",NA,"urine","2013",2014-07-07,"T","M",0.14,"non-adult"
"TOR",2014-08-17,0,2.40584390615717,1,"logscale",NA,"urine","2013",2009-11-13,"T","M",4.76,"non-adult"
"VAI",2014-08-19,0,2.38652284668778,0,"logscale",NA,"urine","2013",2013-07-15,"V","M",1.1,"non-adult"
"VAI",2014-09-03,0,2.09817398868466,0,"logscale",NA,"urine","2013",2013-07-15,"V","M",1.14,"non-adult"
"VEX",2015-04-09,0,2.06500583733368,0,"logscale",NA,"urine","2013",2007-12-01,"V","M",7.35,"non-adult"
"VEX",2014-10-02,0,2.05135910551392,0,"logscale",NA,"urine","2013",2007-12-01,"V","M",6.84,"non-adult"
"VEX",2013-10-09,0,5.8,0,"odv",NA,"urine","5",2007-12-01,"V","M",5.86,"non-adult"
"VIM",2014-09-03,0,2.17517947131847,0,"logscale",NA,"urine","2013",2012-01-17,"V","M",2.63,"non-adult"
"VIM",2020-01-25,0,0.347,0,"net_OD",NA,"plasma","2023",2012-01-17,"V","M",8.02,"non-adult"
"VIP",2014-10-02,1,3.71949170716027,1,"logscale",NA,"urine","2013",2008-11-01,"V","M",5.92,"non-adult"
"VIP",2013-09-19,1,348.9,1,"odv",2013-02-01,"urine","1",2008-11-01,"V","M",4.88,"non-adult"
"VIP",2014-10-19,1,4.37095859021369,1,"logscale",NA,"urine","2013",2008-11-01,"V","M",5.96,"non-adult"
"VIP",2013-10-11,1,596.9,1,"odv",2013-02-01,"urine","5",2008-11-01,"V","M",4.94,"non-adult"
"VIP",2014-09-18,1,4.54626985686262,1,"logscale",NA,"urine","2013",2008-11-01,"V","M",5.88,"non-adult"
"VIP",2014-10-02,1,3.42034842381667,1,"logscale",NA,"urine","2013",2008-11-01,"V","M",5.92,"non-adult"
"VLA",2013-10-17,0,14.9,0,"odv",NA,"urine","5",2012-06-11,"V","M",1.35,"non-adult"
"VLA",2014-08-14,0,2.06150834801862,0,"logscale",NA,"urine","2013",2012-06-11,"V","M",2.17,"non-adult"
"VLA",2014-09-03,0,2.06220890672026,0,"logscale",NA,"urine","2013",2012-06-11,"V","M",2.23,"non-adult"
"VLA",2019-02-20,0,0,0,"net_OD",NA,"plasma","2023",2012-06-11,"V","M",6.69,"non-adult"
"VOD",2015-05-19,0,2.28353034383343,0,"logscale",NA,"urine","2013",2003-03-24,"","M",12.15,"adult"
"VOD",2014-08-11,0,2.3716049294601,0,"logscale",NA,"urine","2013",2003-03-24,"","M",11.38,"adult"
"VOD",2015-05-12,0,2.0358900172275,0,"logscale",NA,"urine","2013",2003-03-24,"","M",12.13,"adult"
"VOD",2014-08-14,0,2.02484880038441,0,"logscale",NA,"urine","2013",2003-03-24,"","M",11.39,"adult"
"VOD",2015-05-15,0,1.93145566470245,0,"logscale",NA,"urine","2013",2003-03-24,"","M",12.14,"adult"
"VOD",2015-05-14,0,1.89598822134898,0,"logscale",NA,"urine","2013",2003-03-24,"","M",12.14,"adult"
"VOD",2014-10-06,0,2.19386560831942,0,"logscale",NA,"urine","2013",2003-03-24,"","M",11.54,"adult"
"VOD",2017-11-16,0,0.004,0,"net_OD",NA,"plasma","2024",2003-03-24,"","M",14.65,"adult"
"VOD",2015-04-28,0,2.02847664862743,0,"logscale",NA,"urine","2013",2003-03-24,"","M",12.1,"adult"
"WAG",2014-08-28,0,2.09232134165371,0,"logscale",NA,"urine","2013",2010-09-29,"B1","M",3.91,"non-adult"
"WAK",2015-06-06,0,2.08980481866107,0,"logscale",NA,"urine","2013",2005-07-23,"","M",9.87,"adult"
"WAK",2015-05-05,0,2.05780597074289,0,"logscale",NA,"urine","2013",2005-07-23,"","M",9.78,"adult"
"WAK",2015-06-08,0,2.07570936413296,0,"logscale",NA,"urine","2013",2005-07-23,"","M",9.88,"adult"
"WAK",2015-05-19,0,2.2791966328396,0,"logscale",NA,"urine","2013",2005-07-23,"","M",9.82,"adult"
"WAK",2015-05-20,0,2.26901099972099,0,"logscale",NA,"urine","2013",2005-07-23,"","M",9.82,"adult"
"WAK",2014-10-04,0,3.19747069632801,1,"logscale",NA,"urine","2013",2005-07-23,"","M",9.2,"adult"
"WAK",2015-06-08,0,2.22530669874792,0,"logscale",NA,"urine","2013",2005-07-23,"","M",9.88,"adult"
"WAK",2015-06-08,0,2.31054946632804,0,"logscale",NA,"urine","2013",2005-07-23,"","M",9.88,"adult"
"WAK",2015-05-19,0,2.18621191414284,0,"logscale",NA,"urine","2013",2005-07-23,"","M",9.82,"adult"
"WAK",2014-08-31,0,2.48490195314803,1,"logscale",NA,"urine","2013",2005-07-23,"","M",9.11,"adult"
"WAL",2014-08-16,0,4.0953568053943,1,"logscale",NA,"urine","2013",2003-04-01,"","M",11.38,"adult"
"WAL",2013-10-15,0,111.55,1,"odv",NA,"urine","5",2003-04-01,"","M",10.54,"adult"
"WAL",2014-08-18,0,4.16704895454443,1,"logscale",NA,"urine","2013",2003-04-01,"","M",11.38,"adult"
"WAL",2013-09-30,0,1000,1,"odv",NA,"urine","5",2003-04-01,"","M",10.5,"adult"
"XAV",2014-08-29,0,2.02237152813131,0,"logscale",NA,"urine","2013",2009-01-08,"Z","M",5.64,"non-adult"
"YEL",2014-08-17,1,4.40155351735082,1,"logscale",NA,"urine","2013",1998-11-06,"","M",15.78,"adult"
"YEL",2014-10-05,1,3.91451672916537,1,"logscale",NA,"urine","2013",1998-11-06,"","M",15.91,"adult"
"YEL",2015-05-15,1,3.97036202526098,1,"logscale",NA,"urine","2013",1998-11-06,"","M",16.52,"adult"
"YOS",2014-10-04,0,3.38168805821187,1,"logscale",NA,"urine","2013",2006-03-09,"","M",8.57,"adult"
"YOS",2015-06-10,0,3.89059197130258,1,"logscale",NA,"urine","2013",2006-03-09,"","M",9.25,"adult"
"YOS",2015-06-10,0,3.5216188817114,1,"logscale",NA,"urine","2013",2006-03-09,"","M",9.25,"adult"
"YOS",2015-05-18,0,3.91618872193531,1,"logscale",NA,"urine","2013",2006-03-09,"","M",9.19,"adult"
"YOS",2015-06-08,0,4.58687392533026,1,"logscale",NA,"urine","2013",2006-03-09,"","M",9.25,"adult"
"YOS",2015-06-06,0,3.41592157174464,1,"logscale",NA,"urine","2013",2006-03-09,"","M",9.24,"adult"
"YOS",2015-06-06,0,3.65886562932976,1,"logscale",NA,"urine","2013",2006-03-09,"","M",9.24,"adult"
"YOS",2015-05-20,0,3.39811206637021,1,"logscale",NA,"urine","2013",2006-03-09,"","M",9.2,"adult"
"YOS",2015-06-07,0,3.70305205250756,1,"logscale",NA,"urine","2013",2006-03-09,"","M",9.25,"adult"
"YOS",2014-08-29,0,2.23971955908605,0,"logscale",NA,"urine","2013",2006-03-09,"","M",8.47,"adult"
"ZEU",2013-10-16,1,558.1,1,"odv",2013-10-01,"urine","5",1998-04-12,"","M",15.51,"adult"
"ZEU",2015-05-12,1,3.55212352541484,1,"logscale",NA,"urine","2013",1998-04-12,"","M",17.08,"adult"
"ZEU",2014-10-04,1,3.72598568153251,1,"logscale",NA,"urine","2013",1998-04-12,"","M",16.48,"adult"
"ZEU",2015-05-12,1,3.3959733681118,1,"logscale",NA,"urine","2013",1998-04-12,"","M",17.08,"adult"
"ZEU",2015-06-08,1,3.9743258594944,1,"logscale",NA,"urine","2013",1998-04-12,"","M",17.16,"adult"
"ZEU",2015-05-12,1,3.13050944871724,1,"logscale",NA,"urine","2013",1998-04-12,"","M",17.08,"adult"
"ZEU",2015-05-19,1,3.38370967431894,1,"logscale",NA,"urine","2013",1998-04-12,"","M",17.1,"adult"
"ZIR",2014-10-04,0,2.51255371275651,1,"logscale",NA,"urine","2013",2009-11-16,"Z","M",4.88,"non-adult"
"ZIR",2014-09-04,0,2.08795037241296,0,"logscale",NA,"urine","2013",2009-11-16,"Z","M",4.8,"non-adult"
"ZOR",2014-08-28,0,2.89516841880109,1,"logscale",NA,"urine","2013",2007-03-31,"Z","M",7.41,"non-adult"
